127.0.0.1 - - [21/Nov/2022:00:29:14 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Nov/2022:00:29:15 +0900] "GET /KITEN/index.jsp HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [21/Nov/2022:00:29:19 +0900] "GET /KITEN/user/userJoin.do HTTP/1.1" 200 13903
0:0:0:0:0:0:0:1 - - [21/Nov/2022:00:29:19 +0900] "GET /KITEN/resources/js/userInput.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2022:00:29:27 +0900] "GET /KITEN/user/idCheck.do?m_id=minion1231 HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [21/Nov/2022:00:29:33 +0900] "GET /KITEN/user/idCheck.do?m_id=minion123 HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [21/Nov/2022:00:37:13 +0900] "GET /KITEN/user/idCheck.do?m_id=minion123 HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [21/Nov/2022:00:37:18 +0900] "GET /KITEN/user/idCheck.do?m_id=minion1231 HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [21/Nov/2022:00:37:23 +0900] "GET /KITEN/user/idCheck.do?m_id=minion123 HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [21/Nov/2022:00:38:28 +0900] "GET /KITEN/resources/vendors/bootstrap/bootstrap.bundle.min.js.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Nov/2022:00:38:28 +0900] "GET /KITEN/resources/vendors/bootstrap/bootstrap.min.css.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Nov/2022:00:43:41 +0900] "GET /KITEN/index.jsp HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [21/Nov/2022:00:43:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Nov/2022:00:43:41 +0900] "GET /KITEN/index.jsp HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [21/Nov/2022:00:43:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Nov/2022:00:43:41 +0900] "GET /KITEN/index.jsp HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [21/Nov/2022:00:43:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Nov/2022:00:43:41 +0900] "GET /KITEN/index.jsp HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [21/Nov/2022:00:43:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Nov/2022:00:43:41 +0900] "GET /KITEN/index.jsp HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [21/Nov/2022:00:43:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
